genome_name	publication	genome_id	antibiotic	resistant_phenotype	measurement	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_method_version	laboratory_typing_platform	testing_standard	testing_standard_year	genome.bioproject_accession	genome.biosample_accession	genome.assembly_accession	genome.genbank_accessions	genome.refseq_accessions
Staphylococcus argenteus strain 3688STDY6125074	26806258	985002.139	fusidic acid	Susceptible										PRJEB9575	SAMEA3449082	GCF_900126615.1	FQKI00000000	
Staphylococcus argenteus strain 3688STDY6125074	26806258	985002.139	gentamicin	Susceptible										PRJEB9575	SAMEA3449082	GCF_900126615.1	FQKI00000000	
Staphylococcus argenteus strain 3688STDY6125074	26806258	985002.139	levofloxacin	Susceptible										PRJEB9575	SAMEA3449082	GCF_900126615.1	FQKI00000000	
Staphylococcus argenteus strain 3688STDY6125074	26806258	985002.139	oxacillin	Susceptible										PRJEB9575	SAMEA3449082	GCF_900126615.1	FQKI00000000	
Staphylococcus argenteus strain 3688STDY6125074	26806258	985002.139	penicillin	Resistant										PRJEB9575	SAMEA3449082	GCF_900126615.1	FQKI00000000	
Staphylococcus argenteus strain 3688STDY6125074	26806258	985002.139	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449082	GCF_900126615.1	FQKI00000000	
Staphylococcus argenteus strain 3688STDY6125075	26806258	985002.95	cefoxitin	Susceptible										PRJEB9575	SAMEA3449083	GCF_900128195.1	FQRF00000000	
Staphylococcus argenteus strain 3688STDY6125075	26806258	985002.95	clindamycin	Susceptible										PRJEB9575	SAMEA3449083	GCF_900128195.1	FQRF00000000	
Staphylococcus argenteus strain 3688STDY6125075	26806258	985002.95	erythromycin	Susceptible										PRJEB9575	SAMEA3449083	GCF_900128195.1	FQRF00000000	
Staphylococcus argenteus strain 3688STDY6125075	26806258	985002.95	fosfomycin	Susceptible										PRJEB9575	SAMEA3449083	GCF_900128195.1	FQRF00000000	
Staphylococcus argenteus strain 3688STDY6125075	26806258	985002.95	fusidic acid	Susceptible										PRJEB9575	SAMEA3449083	GCF_900128195.1	FQRF00000000	
Staphylococcus argenteus strain 3688STDY6125075	26806258	985002.95	gentamicin	Susceptible										PRJEB9575	SAMEA3449083	GCF_900128195.1	FQRF00000000	
Staphylococcus argenteus strain 3688STDY6125075	26806258	985002.95	levofloxacin	Susceptible										PRJEB9575	SAMEA3449083	GCF_900128195.1	FQRF00000000	
Staphylococcus argenteus strain 3688STDY6125075	26806258	985002.95	oxacillin	Susceptible										PRJEB9575	SAMEA3449083	GCF_900128195.1	FQRF00000000	
Staphylococcus argenteus strain 3688STDY6125075	26806258	985002.95	penicillin	Resistant										PRJEB9575	SAMEA3449083	GCF_900128195.1	FQRF00000000	
Staphylococcus argenteus strain 3688STDY6125075	26806258	985002.95	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449083	GCF_900128195.1	FQRF00000000	
Staphylococcus argenteus strain 3688STDY6125076	26806258	985002.138	cefoxitin	Susceptible										PRJEB9575	SAMEA3449084	GCF_900126625.1	FQKJ00000000	
Staphylococcus argenteus strain 3688STDY6125076	26806258	985002.138	clindamycin	Susceptible										PRJEB9575	SAMEA3449084	GCF_900126625.1	FQKJ00000000	
