genome_id	genome.publication	genome.bioproject_accession	genome.biosample_accession	genome.assembly_accession	genome.genbank_accessions	genome.refseq_accessions
1280.8616	26686880	PRJEB5261	SAMEA2340093			
1280.8616	26686880	PRJEB5261	SAMEA2340093			
1280.8616	26686880	PRJEB5261	SAMEA2340093			
1280.8616	26686880	PRJEB5261	SAMEA2340093			
1280.8616	26686880	PRJEB5261	SAMEA2340093			
1280.8616	26686880	PRJEB5261	SAMEA2340093			
1280.8616	26686880	PRJEB5261	SAMEA2340093			
1280.8616	26686880	PRJEB5261	SAMEA2340093			
1280.8616	26686880	PRJEB5261	SAMEA2340093			
1280.8615	26686880	PRJEB5261	SAMEA2340094			
1280.8615	26686880	PRJEB5261	SAMEA2340094			
1280.8615	26686880	PRJEB5261	SAMEA2340094			
1280.8615	26686880	PRJEB5261	SAMEA2340094			
1280.8615	26686880	PRJEB5261	SAMEA2340094			
1280.8615	26686880	PRJEB5261	SAMEA2340094			
1280.8615	26686880	PRJEB5261	SAMEA2340094			
1280.8615	26686880	PRJEB5261	SAMEA2340094			
1280.8615	26686880	PRJEB5261	SAMEA2340094			
1280.8615	26686880	PRJEB5261	SAMEA2340094			
1280.8614	26686880	PRJEB5261	SAMEA2340095			
1280.8614	26686880	PRJEB5261	SAMEA2340095			
